Sender Roll:  [4, 4] | [2] | [12] | [9, 10, 4, 5, 8, 6, 7, 11, 3]
Cracker Roll: [1, 2] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 2] | [7, 12]

Sender Roll:  [2, 2] | [2] | [12] | [9, 10, 4, 5, 8, 6, 7, 11, 3]
Cracker Roll: [1, 6] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 2, 12] | [7]

Sender Roll:  [3, 5] | [2] | [12] | [9, 10, 4, 5, 8, 6, 7, 11, 3]
Cracker Roll: [3, 3] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [1, 5] | [2] | [12] | [9, 10, 4, 5, 8, 6, 7, 11, 3]
Cracker Roll: [3, 5] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [6, 1] | [2] | [12] | [9, 10, 4, 5, 8, 6, 7, 11, 3]
Cracker Roll: [1, 5] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [3, 1] | [2] | [12] | [9, 10, 4, 5, 8, 6, 7, 11, 3]
Cracker Roll: [3, 4] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [4, 3] | [2] | [12] | [9, 10, 4, 5, 8, 6, 7, 11, 3]
Cracker Roll: [6, 2] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [None] | [2] | [12] | [9, 10, 4, 5, 8, 6, 7, 11, 3]
Cracker Roll: [5, 6] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [2, 6] | [2] | [12] | [9, 10, 4, 5, 8, 6, 7, 11, 3]
Cracker Roll: [3, 4] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [1, 6] | [2] | [12] | [9, 10, 4, 5, 8, 6, 7, 11, 3]
Cracker Roll: [3, 1] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [1, 6] | [2] | [12] | [9, 10, 4, 5, 8, 6, 7, 11, 3]
Cracker Roll: [5, 5] | [] | [3, 4, 5, 6, 8, 9, 10, 11] | [7, 2, 12]

Cracker wins.
