# Sample Size: 10000
# Sender wins: 4966 | Cracker wins: 5034
# Sender Average | Rolls: 48.7417 | Sent Encrypted 10.1429 | Removed Token 1.2219
# Cracker Average | Rolls: 48.6816 | Get Encrypted 7.7677 | Get Cracked 8.1126
#
[Round, Winner, Sender(Rolls, SendEncr, RemoveDat), Cracker(Rolls, GetEncr, GetCrac)]
[2294, 'Sender', (37, 11, 3), (31, 7, 4)]
[2295, 'Cracker', (29, 7, 0), (30, 3, 8)]
[2296, 'Cracker', (46, 10, 1), (51, 9, 8)]
[2297, 'Sender', (60, 11, 6), (61, 11, 6)]
[2298, 'Cracker', (53, 10, 3), (59, 10, 9)]
[2299, 'Sender', (55, 11, 1), (57, 7, 9)]
[2300, 'Sender', (57, 11, 3), (63, 9, 10)]
[2301, 'Cracker', (26, 8, 0), (22, 3, 10)]
[2302, 'Cracker', (71, 10, 0), (78, 7, 15)]
[2303, 'Cracker', (59, 10, 2), (53, 9, 11)]
[2304, 'Cracker', (44, 10, 0), (46, 9, 6)]
[2305, 'Cracker', (55, 9, 3), (57, 12, 8)]
[2306, 'Cracker', (37, 9, 2), (43, 8, 8)]
[2307, 'Sender', (34, 11, 1), (31, 5, 8)]
[2308, 'Cracker', (25, 5, 0), (34, 3, 10)]
[2309, 'Cracker', (72, 10, 2), (68, 10, 9)]
[2310, 'Cracker', (35, 10, 1), (34, 7, 7)]
[2311, 'Cracker', (35, 9, 4), (33, 12, 7)]
[2312, 'Cracker', (108, 10, 5), (99, 12, 15)]
[2313, 'Sender', (41, 11, 0), (40, 6, 8)]
[2314, 'Cracker', (36, 9, 0), (41, 5, 10)]
[2315, 'Sender', (85, 11, 5), (81, 12, 11)]
[2316, 'Cracker', (48, 8, 1), (50, 7, 10)]
[2317, 'Sender', (96, 11, 8), (99, 15, 15)]
[2318, 'Cracker', (45, 10, 2), (37, 8, 11)]
[2319, 'Sender', (81, 11, 3), (83, 10, 11)]
[2320, 'Sender', (50, 11, 0), (47, 6, 10)]
[2321, 'Cracker', (34, 9, 0), (37, 5, 7)]
[2322, 'Sender', (50, 11, 2), (53, 8, 6)]
[2323, 'Sender', (64, 11, 4), (69, 10, 15)]
[2324, 'Cracker', (36, 9, 1), (40, 8, 6)]
[2325, 'Cracker', (31, 8, 0), (35, 7, 5)]
[2326, 'Cracker', (37, 9, 0), (47, 8, 6)]
[2327, 'Cracker', (41, 9, 0), (44, 6, 10)]
[2328, 'Cracker', (38, 9, 0), (40, 7, 10)]
[2329, 'Cracker', (53, 10, 0), (50, 6, 11)]
[2330, 'Cracker', (64, 10, 2), (64, 11, 9)]
[2331, 'Sender', (44, 11, 1), (38, 6, 3)]
[2332, 'Sender', (54, 11, 6), (53, 13, 3)]
[2333, 'Sender', (45, 11, 2), (47, 7, 9)]
[2334, 'Sender', (44, 11, 2), (51, 8, 6)]
[2335, 'Sender', (33, 11, 0), (29, 5, 9)]
[2336, 'Cracker', (39, 8, 0), (42, 5, 10)]
[2337, 'Sender', (30, 11, 2), (36, 7, 4)]
[2338, 'Cracker', (43, 10, 1), (37, 9, 6)]
[2339, 'Cracker', (42, 9, 0), (41, 6, 9)]
[2340, 'Cracker', (37, 8, 0), (38, 7, 8)]
[2341, 'Cracker', (31, 9, 0), (32, 7, 8)]
[2342, 'Cracker', (26, 9, 0), (28, 7, 6)]
[2343, 'Sender', (71, 11, 5), (72, 10, 7)]
[2344, 'Sender', (68, 11, 2), (58, 9, 10)]
[2345, 'Sender', (57, 11, 1), (61, 8, 9)]
[2346, 'Cracker', (31, 7, 0), (26, 3, 8)]
[2347, 'Cracker', (51, 10, 1), (59, 7, 10)]
[2348, 'Sender', (58, 11, 3), (49, 12, 7)]
[2349, 'Sender', (59, 11, 2), (61, 9, 6)]
[2350, 'Cracker', (27, 9, 0), (26, 6, 6)]
[2351, 'Cracker', (52, 9, 1), (48, 7, 13)]
[2352, 'Cracker', (38, 8, 0), (38, 6, 10)]
[2353, 'Cracker', (57, 10, 1), (62, 8, 10)]
[2354, 'Cracker', (49, 10, 0), (48, 7, 10)]
[2355, 'Cracker', (27, 9, 0), (29, 7, 5)]
[2356, 'Sender', (53, 11, 3), (54, 10, 7)]
[2357, 'Sender', (56, 11, 0), (54, 7, 10)]
[2358, 'Cracker', (41, 10, 0), (37, 4, 10)]
[2359, 'Sender', (52, 11, 0), (47, 6, 11)]
[2360, 'Sender', (48, 11, 4), (51, 11, 3)]
[2361, 'Cracker', (25, 8, 0), (26, 4, 9)]
[2362, 'Cracker', (27, 8, 0), (31, 5, 9)]
[2363, 'Sender', (111, 11, 7), (102, 12, 15)]
[2364, 'Sender', (47, 11, 1), (53, 9, 7)]
[2365, 'Cracker', (46, 9, 1), (51, 10, 10)]
[2366, 'Sender', (45, 11, 0), (44, 7, 10)]
[2367, 'Sender', (41, 11, 0), (36, 6, 7)]
[2368, 'Sender', (40, 11, 1), (38, 7, 8)]
[2369, 'Cracker', (41, 10, 3), (38, 10, 7)]
[2370, 'Sender', (54, 11, 5), (52, 11, 9)]
[2371, 'Cracker', (42, 9, 0), (43, 7, 9)]
[2372, 'Cracker', (34, 8, 0), (36, 6, 7)]
[2373, 'Sender', (33, 11, 0), (33, 4, 7)]
[2374, 'Sender', (29, 11, 0), (38, 6, 7)]
[2375, 'Sender', (47, 11, 0), (44, 5, 9)]
[2376, 'Sender', (78, 11, 7), (79, 14, 10)]
[2377, 'Sender', (87, 11, 1), (93, 9, 10)]
[2378, 'Sender', (42, 11, 3), (47, 9, 5)]
[2379, 'Cracker', (42, 8, 1), (42, 8, 8)]
[2380, 'Sender', (35, 11, 1), (37, 6, 3)]
[2381, 'Cracker', (46, 10, 0), (48, 8, 9)]
[2382, 'Sender', (36, 11, 0), (41, 9, 6)]
[2383, 'Sender', (32, 11, 2), (31, 8, 5)]
[2384, 'Sender', (42, 11, 4), (39, 8, 4)]
[2385, 'Sender', (53, 11, 4), (44, 9, 7)]
[2386, 'Cracker', (58, 10, 2), (55, 9, 11)]
[2387, 'Sender', (113, 11, 8), (106, 16, 19)]
[2388, 'Sender', (26, 11, 0), (27, 4, 3)]
[2389, 'Cracker', (28, 8, 0), (34, 6, 8)]
[2390, 'Sender', (65, 11, 7), (57, 13, 5)]
[2391, 'Sender', (41, 11, 1), (29, 8, 5)]
[2392, 'Cracker', (46, 10, 0), (47, 9, 6)]
[2393, 'Cracker', (35, 10, 0), (42, 6, 11)]
[2394, 'Sender', (77, 11, 0), (79, 8, 13)]
[2395, 'Sender', (25, 11, 1), (21, 4, 5)]
[2396, 'Cracker', (21, 9, 0), (22, 4, 8)]
[2397, 'Sender', (43, 11, 0), (52, 7, 9)]
[2398, 'Sender', (52, 11, 1), (59, 8, 8)]
[2399, 'Cracker', (47, 10, 0), (53, 8, 12)]
[2400, 'Cracker', (43, 10, 2), (46, 9, 8)]
[2401, 'Cracker', (53, 10, 2), (50, 10, 9)]
[2402, 'Cracker', (33, 10, 0), (39, 3, 12)]
[2403, 'Cracker', (58, 10, 0), (55, 8, 8)]
[2404, 'Sender', (49, 11, 0), (46, 6, 10)]
[2405, 'Cracker', (64, 9, 1), (67, 7, 20)]
[2406, 'Cracker', (39, 10, 0), (44, 6, 9)]
[2407, 'Cracker', (39, 10, 2), (41, 8, 9)]
[2408, 'Sender', (44, 11, 1), (46, 6, 8)]
[2409, 'Cracker', (38, 10, 0), (38, 7, 9)]
[2410, 'Cracker', (48, 10, 0), (48, 8, 8)]
[2411, 'Sender', (48, 11, 3), (50, 9, 7)]
[2412, 'Sender', (42, 11, 0), (48, 8, 8)]
[2413, 'Cracker', (43, 10, 1), (46, 9, 9)]
[2414, 'Cracker', (62, 10, 1), (60, 9, 7)]
[2415, 'Cracker', (67, 10, 3), (65, 10, 14)]
[2416, 'Sender', (78, 11, 4), (79, 12, 14)]
[2417, 'Sender', (81, 11, 4), (73, 12, 10)]
[2418, 'Sender', (61, 11, 1), (67, 9, 8)]
[2419, 'Sender', (41, 11, 0), (41, 6, 6)]
[2420, 'Cracker', (72, 10, 3), (62, 12, 6)]
[2421, 'Sender', (57, 11, 0), (57, 7, 9)]
[2422, 'Sender', (31, 11, 0), (31, 5, 9)]
[2423, 'Cracker', (39, 8, 0), (43, 8, 8)]
[2424, 'Cracker', (56, 10, 2), (60, 11, 6)]
[2425, 'Sender', (40, 11, 0), (33, 5, 4)]
[2426, 'Sender', (53, 11, 7), (53, 11, 4)]
[2427, 'Cracker', (35, 8, 0), (37, 5, 9)]
[2428, 'Cracker', (41, 10, 0), (39, 7, 8)]
[2429, 'Sender', (37, 11, 0), (39, 6, 8)]
[2430, 'Cracker', (54, 10, 2), (60, 11, 8)]
[2431, 'Cracker', (53, 9, 0), (66, 9, 7)]
[2432, 'Cracker', (108, 10, 2), (116, 11, 9)]
[2433, 'Cracker', (44, 9, 2), (40, 7, 10)]
[2434, 'Cracker', (41, 10, 0), (39, 8, 9)]
[2435, 'Sender', (49, 11, 1), (48, 6, 11)]
[2436, 'Sender', (41, 11, 3), (41, 8, 4)]
[2437, 'Cracker', (68, 10, 7), (62, 15, 6)]
[2438, 'Cracker', (55, 10, 1), (58, 9, 9)]
[2439, 'Sender', (58, 11, 8), (58, 14, 7)]
[2440, 'Cracker', (76, 10, 1), (75, 10, 10)]
[2441, 'Sender', (63, 11, 2), (55, 9, 8)]
[2442, 'Cracker', (62, 10, 4), (57, 12, 10)]
[2443, 'Sender', (59, 11, 4), (61, 9, 6)]
[2444, 'Cracker', (34, 10, 0), (48, 7, 11)]
[2445, 'Sender', (45, 11, 1), (53, 7, 6)]
[2446, 'Sender', (37, 11, 0), (39, 8, 7)]
[2447, 'Sender', (46, 11, 1), (44, 9, 4)]
[2448, 'Sender', (36, 11, 0), (37, 5, 5)]
[2449, 'Sender', (40, 11, 2), (39, 8, 3)]
[2450, 'Cracker', (89, 10, 3), (86, 10, 12)]
[2451, 'Sender', (91, 11, 6), (93, 13, 11)]
[2452, 'Sender', (43, 11, 2), (38, 10, 9)]
[2453, 'Sender', (44, 11, 1), (48, 8, 7)]
[2454, 'Cracker', (60, 10, 1), (52, 9, 7)]
[2455, 'Sender', (44, 11, 0), (34, 6, 3)]
[2456, 'Cracker', (63, 10, 1), (50, 8, 12)]
[2457, 'Cracker', (21, 8, 0), (21, 3, 10)]
[2458, 'Sender', (45, 11, 0), (42, 6, 9)]
[2459, 'Sender', (102, 11, 2), (99, 10, 13)]
[2460, 'Cracker', (51, 9, 0), (54, 8, 10)]
[2461, 'Sender', (85, 11, 6), (77, 11, 8)]
[2462, 'Cracker', (64, 10, 3), (67, 10, 10)]
[2463, 'Cracker', (47, 10, 0), (52, 8, 7)]
[2464, 'Cracker', (50, 9, 0), (55, 6, 11)]
[2465, 'Sender', (36, 11, 0), (36, 6, 3)]
[2466, 'Cracker', (74, 10, 2), (74, 11, 12)]
[2467, 'Sender', (38, 11, 0), (38, 5, 4)]
[2468, 'Cracker', (65, 10, 1), (65, 7, 11)]
[2469, 'Cracker', (32, 10, 0), (35, 5, 8)]
[2470, 'Sender', (73, 11, 3), (73, 9, 7)]
[2471, 'Cracker', (35, 7, 0), (34, 4, 10)]
[2472, 'Cracker', (43, 9, 1), (53, 8, 8)]
[2473, 'Sender', (36, 11, 2), (28, 5, 4)]
[2474, 'Sender', (42, 11, 1), (36, 8, 6)]
[2475, 'Cracker', (47, 10, 0), (42, 6, 8)]
[2476, 'Sender', (58, 11, 4), (56, 10, 7)]
[2477, 'Cracker', (46, 8, 0), (49, 8, 6)]
[2478, 'Cracker', (46, 9, 0), (45, 8, 8)]
[2479, 'Sender', (66, 11, 4), (63, 10, 9)]
[2480, 'Sender', (28, 11, 0), (33, 7, 8)]
[2481, 'Cracker', (34, 9, 0), (35, 6, 9)]
[2482, 'Cracker', (60, 10, 0), (59, 9, 10)]
[2483, 'Sender', (56, 11, 3), (42, 8, 2)]
[2484, 'Cracker', (34, 8, 0), (41, 7, 9)]
[2485, 'Cracker', (19, 8, 0), (20, 4, 8)]
[2486, 'Cracker', (48, 10, 2), (47, 10, 11)]
[2487, 'Cracker', (27, 6, 0), (27, 3, 11)]
[2488, 'Cracker', (60, 10, 2), (57, 11, 12)]
[2489, 'Cracker', (51, 10, 0), (55, 7, 10)]
[2490, 'Sender', (37, 11, 5), (33, 9, 1)]
[2491, 'Cracker', (54, 8, 1), (51, 8, 8)]
[2492, 'Cracker', (50, 10, 1), (50, 8, 10)]
[2493, 'Sender', (36, 11, 0), (37, 7, 7)]
[2494, 'Sender', (29, 11, 0), (31, 7, 5)]
[2495, 'Sender', (46, 11, 0), (50, 7, 11)]
[2496, 'Sender', (38, 11, 1), (35, 8, 8)]
[2497, 'Cracker', (39, 10, 0), (43, 6, 11)]
[2498, 'Cracker', (42, 10, 0), (39, 8, 7)]
[2499, 'Cracker', (34, 9, 0), (31, 7, 6)]
[2500, 'Cracker', (34, 9, 0), (35, 8, 7)]
[2501, 'Cracker', (50, 9, 0), (51, 7, 11)]
[2502, 'Sender', (39, 11, 1), (29, 6, 5)]
[2503, 'Sender', (51, 11, 0), (48, 5, 9)]
[2504, 'Cracker', (52, 10, 0), (53, 7, 7)]
[2505, 'Sender', (61, 11, 3), (65, 10, 8)]
[2506, 'Sender', (59, 11, 5), (62, 9, 7)]
[2507, 'Sender', (42, 11, 2), (52, 7, 6)]
[2508, 'Cracker', (26, 10, 0), (35, 8, 5)]
[2509, 'Sender', (80, 11, 0), (84, 8, 17)]
[2510, 'Sender', (50, 11, 0), (38, 6, 5)]
[2511, 'Cracker', (42, 9, 1), (42, 8, 10)]
[2512, 'Cracker', (39, 10, 0), (36, 9, 8)]
[2513, 'Cracker', (47, 9, 0), (51, 6, 11)]
[2514, 'Sender', (36, 11, 0), (39, 6, 7)]
[2515, 'Cracker', (29, 9, 1), (35, 10, 4)]
[2516, 'Cracker', (46, 10, 0), (52, 9, 11)]
[2517, 'Sender', (46, 11, 0), (50, 7, 9)]
[2518, 'Cracker', (30, 10, 0), (28, 3, 8)]
[2519, 'Cracker', (46, 10, 0), (56, 7, 12)]
[2520, 'Cracker', (44, 7, 0), (40, 7, 8)]
[2521, 'Sender', (48, 11, 0), (45, 8, 6)]
[2522, 'Sender', (96, 11, 4), (93, 12, 13)]
[2523, 'Sender', (51, 11, 2), (51, 8, 10)]
[2524, 'Cracker', (41, 9, 0), (48, 7, 7)]
[2525, 'Cracker', (51, 8, 0), (51, 7, 11)]
[2526, 'Sender', (47, 11, 2), (47, 8, 4)]
[2527, 'Cracker', (46, 8, 0), (48, 7, 6)]
[2528, 'Cracker', (45, 9, 0), (39, 8, 7)]
[2529, 'Sender', (41, 11, 2), (45, 11, 6)]
[2530, 'Cracker', (40, 10, 0), (43, 8, 8)]
[2531, 'Sender', (71, 11, 4), (69, 9, 9)]
[2532, 'Sender', (37, 11, 0), (43, 8, 7)]
[2533, 'Cracker', (39, 10, 0), (46, 6, 11)]
[2534, 'Sender', (40, 11, 0), (40, 6, 6)]
[2535, 'Cracker', (97, 10, 1), (97, 10, 14)]
[2536, 'Sender', (57, 11, 2), (51, 8, 6)]
[2537, 'Sender', (52, 11, 2), (70, 9, 7)]
[2538, 'Sender', (52, 11, 1), (55, 6, 10)]
[2539, 'Sender', (76, 11, 3), (82, 10, 11)]
[2540, 'Sender', (61, 11, 5), (55, 10, 7)]
[2541, 'Cracker', (32, 9, 0), (34, 6, 8)]
[2542, 'Sender', (31, 11, 0), (32, 7, 6)]
[2543, 'Sender', (56, 11, 6), (54, 14, 4)]
[2544, 'Cracker', (45, 9, 0), (45, 8, 8)]
[2545, 'Sender', (102, 11, 3), (106, 10, 18)]
[2546, 'Cracker', (74, 10, 4), (70, 10, 17)]
[2547, 'Sender', (56, 11, 0), (56, 8, 8)]
[2548, 'Cracker', (34, 9, 0), (39, 6, 9)]
[2549, 'Cracker', (40, 7, 0), (35, 4, 12)]
[2550, 'Sender', (87, 11, 3), (80, 9, 11)]
[2551, 'Sender', (33, 11, 0), (32, 5, 8)]
[2552, 'Sender', (39, 11, 0), (42, 7, 6)]
[2553, 'Cracker', (62, 9, 1), (60, 8, 8)]
[2554, 'Cracker', (48, 9, 1), (58, 9, 9)]
[2555, 'Sender', (35, 11, 0), (32, 6, 5)]
[2556, 'Cracker', (31, 6, 0), (37, 3, 9)]
[2557, 'Sender', (117, 11, 6), (117, 14, 13)]
[2558, 'Cracker', (30, 10, 0), (32, 5, 9)]
[2559, 'Cracker', (30, 7, 0), (28, 3, 10)]
[2560, 'Sender', (45, 11, 0), (38, 7, 8)]
[2561, 'Sender', (48, 11, 1), (34, 8, 5)]
[2562, 'Cracker', (24, 10, 0), (26, 6, 6)]
[2563, 'Sender', (74, 11, 2), (64, 8, 10)]
[2564, 'Sender', (44, 11, 3), (37, 8, 8)]
[2565, 'Sender', (43, 11, 4), (53, 10, 8)]
[2566, 'Sender', (20, 11, 2), (19, 5, 1)]
[2567, 'Sender', (17, 11, 2), (20, 5, 2)]
[2568, 'Sender', (22, 11, 0), (22, 5, 1)]
[2569, 'Cracker', (28, 10, 0), (35, 7, 5)]
[2570, 'Cracker', (46, 10, 0), (43, 9, 7)]
[2571, 'Cracker', (47, 8, 0), (48, 6, 9)]
[2572, 'Sender', (75, 11, 2), (87, 9, 9)]
[2573, 'Cracker', (44, 9, 0), (45, 6, 8)]
[2574, 'Cracker', (57, 10, 0), (56, 8, 11)]
[2575, 'Sender', (50, 11, 2), (46, 8, 5)]
[2576, 'Cracker', (24, 8, 0), (25, 5, 6)]
[2577, 'Sender', (43, 11, 3), (47, 7, 9)]
[2578, 'Sender', (28, 11, 0), (37, 6, 4)]
[2579, 'Sender', (48, 11, 1), (52, 6, 8)]
[2580, 'Cracker', (70, 9, 5), (72, 12, 9)]
[2581, 'Sender', (55, 11, 2), (55, 9, 10)]
[2582, 'Sender', (50, 11, 1), (59, 9, 10)]
[2583, 'Sender', (32, 11, 0), (32, 5, 2)]
[2584, 'Sender', (47, 11, 0), (52, 7, 6)]
[2585, 'Cracker', (38, 10, 0), (33, 6, 5)]
[2586, 'Cracker', (47, 10, 0), (48, 8, 9)]
[2587, 'Sender', (28, 11, 0), (30, 6, 6)]
[2588, 'Cracker', (58, 10, 1), (70, 7, 11)]
[2589, 'Cracker', (34, 10, 0), (35, 6, 11)]
[2590, 'Cracker', (61, 9, 2), (60, 9, 10)]
[2591, 'Sender', (67, 11, 1), (67, 9, 9)]
[2592, 'Cracker', (57, 10, 0), (54, 8, 12)]
[2593, 'Cracker', (42, 10, 0), (38, 9, 7)]
[2594, 'Cracker', (99, 10, 4), (92, 13, 13)]
[2595, 'Cracker', (24, 5, 0), (32, 4, 7)]
[2596, 'Sender', (56, 11, 0), (53, 7, 9)]
[2597, 'Sender', (47, 11, 0), (39, 5, 7)]
[2598, 'Cracker', (54, 10, 1), (47, 8, 8)]
[2599, 'Sender', (53, 11, 0), (50, 6, 7)]
[2600, 'Sender', (44, 11, 1), (42, 7, 10)]
[2601, 'Sender', (49, 11, 1), (54, 7, 13)]
[2602, 'Cracker', (57, 8, 0), (59, 8, 13)]
[2603, 'Cracker', (43, 10, 0), (48, 6, 9)]
[2604, 'Sender', (49, 11, 1), (51, 8, 6)]
[2605, 'Sender', (43, 11, 1), (38, 7, 6)]
[2606, 'Cracker', (61, 10, 2), (60, 10, 7)]
[2607, 'Sender', (63, 11, 3), (71, 12, 6)]
[2608, 'Cracker', (49, 10, 0), (54, 7, 9)]
[2609, 'Cracker', (52, 9, 0), (59, 8, 9)]
[2610, 'Cracker', (55, 10, 1), (66, 10, 10)]
[2611, 'Cracker', (38, 10, 0), (46, 7, 7)]
[2612, 'Sender', (33, 11, 0), (33, 7, 4)]
[2613, 'Cracker', (43, 9, 1), (37, 7, 10)]
[2614, 'Cracker', (49, 8, 0), (52, 5, 9)]
[2615, 'Cracker', (52, 10, 2), (49, 11, 9)]
[2616, 'Cracker', (73, 10, 2), (75, 10, 11)]
[2617, 'Cracker', (38, 8, 0), (43, 6, 7)]
[2618, 'Sender', (59, 11, 0), (54, 9, 9)]
[2619, 'Sender', (74, 11, 0), (79, 9, 10)]
[2620, 'Cracker', (68, 9, 2), (69, 11, 9)]
[2621, 'Sender', (41, 11, 0), (33, 7, 8)]
[2622, 'Cracker', (62, 10, 1), (53, 7, 12)]
[2623, 'Sender', (57, 11, 1), (53, 7, 6)]
[2624, 'Sender', (32, 11, 0), (29, 4, 10)]
[2625, 'Sender', (83, 11, 5), (73, 11, 11)]
[2626, 'Sender', (39, 11, 0), (42, 6, 8)]
[2627, 'Cracker', (54, 9, 0), (50, 7, 8)]
[2628, 'Cracker', (43, 10, 0), (46, 9, 6)]
[2629, 'Cracker', (77, 10, 3), (74, 11, 13)]
[2630, 'Cracker', (52, 10, 4), (53, 11, 9)]
[2631, 'Cracker', (45, 8, 0), (45, 6, 9)]
[2632, 'Sender', (53, 11, 6), (45, 13, 5)]
[2633, 'Sender', (23, 11, 0), (24, 7, 3)]
[2634, 'Cracker', (39, 10, 0), (45, 6, 10)]
[2635, 'Cracker', (44, 9, 0), (39, 8, 7)]
[2636, 'Cracker', (51, 10, 0), (46, 9, 7)]
[2637, 'Sender', (66, 11, 2), (61, 9, 9)]
[2638, 'Sender', (45, 11, 0), (42, 7, 6)]
[2639, 'Cracker', (28, 8, 0), (32, 6, 8)]
[2640, 'Sender', (47, 11, 2), (41, 8, 8)]
[2641, 'Sender', (55, 11, 0), (49, 7, 8)]
[2642, 'Cracker', (51, 10, 0), (52, 7, 10)]
[2643, 'Sender', (40, 11, 1), (35, 6, 6)]
[2644, 'Cracker', (26, 6, 0), (26, 3, 8)]
[2645, 'Sender', (57, 11, 1), (51, 9, 6)]
[2646, 'Cracker', (63, 10, 1), (65, 9, 14)]
[2647, 'Sender', (56, 11, 3), (44, 6, 10)]
[2648, 'Sender', (51, 11, 5), (54, 11, 6)]
[2649, 'Cracker', (63, 9, 1), (55, 6, 10)]
[2650, 'Sender', (55, 11, 0), (55, 8, 9)]
[2651, 'Sender', (71, 11, 5), (66, 13, 6)]
[2652, 'Cracker', (31, 10, 2), (38, 8, 7)]
[2653, 'Cracker', (94, 10, 3), (93, 12, 14)]
[2654, 'Cracker', (97, 10, 3), (97, 12, 16)]
[2655, 'Sender', (48, 11, 1), (45, 7, 7)]
[2656, 'Cracker', (57, 10, 0), (55, 9, 6)]
[2657, 'Sender', (31, 11, 1), (32, 6, 4)]
[2658, 'Sender', (102, 11, 5), (97, 12, 12)]
[2659, 'Cracker', (54, 10, 0), (53, 6, 11)]
[2660, 'Cracker', (30, 7, 0), (33, 7, 6)]
[2661, 'Sender', (77, 11, 5), (69, 12, 11)]
[2662, 'Sender', (77, 11, 3), (76, 9, 8)]
[2663, 'Cracker', (66, 10, 5), (65, 13, 12)]
[2664, 'Cracker', (37, 10, 0), (39, 6, 7)]
[2665, 'Sender', (43, 11, 0), (43, 6, 8)]
[2666, 'Cracker', (48, 9, 3), (55, 11, 7)]
[2667, 'Sender', (49, 11, 4), (51, 11, 6)]
[2668, 'Sender', (90, 11, 6), (93, 14, 9)]
[2669, 'Cracker', (52, 9, 2), (50, 9, 6)]
[2670, 'Cracker', (73, 10, 3), (79, 12, 12)]
[2671, 'Cracker', (56, 10, 5), (61, 12, 10)]
[2672, 'Cracker', (43, 10, 0), (43, 7, 11)]
[2673, 'Cracker', (49, 10, 0), (42, 7, 9)]
[2674, 'Cracker', (45, 9, 0), (47, 6, 10)]
[2675, 'Cracker', (39, 9, 1), (39, 8, 8)]
[2676, 'Sender', (46, 11, 1), (53, 7, 12)]
[2677, 'Cracker', (42, 10, 0), (32, 6, 7)]
[2678, 'Sender', (61, 11, 0), (57, 6, 11)]
[2679, 'Cracker', (57, 10, 0), (59, 8, 11)]
[2680, 'Cracker', (51, 10, 0), (47, 8, 8)]
[2681, 'Sender', (37, 11, 0), (41, 7, 7)]
[2682, 'Cracker', (51, 10, 0), (54, 6, 10)]
[2683, 'Cracker', (62, 10, 2), (61, 11, 8)]
[2684, 'Sender', (42, 11, 2), (38, 5, 5)]
[2685, 'Cracker', (34, 7, 0), (37, 3, 10)]
[2686, 'Sender', (32, 11, 0), (33, 6, 4)]
[2687, 'Sender', (24, 11, 0), (26, 5, 4)]
[2688, 'Sender', (34, 11, 0), (27, 6, 2)]
[2689, 'Sender', (73, 11, 5), (84, 12, 12)]
[2690, 'Sender', (38, 11, 2), (35, 5, 4)]
[2691, 'Cracker', (44, 9, 0), (48, 7, 9)]
[2692, 'Cracker', (39, 10, 0), (49, 8, 8)]
[2693, 'Sender', (52, 11, 5), (58, 12, 6)]
[2694, 'Sender', (33, 11, 0), (28, 7, 3)]
[2695, 'Sender', (64, 11, 2), (65, 8, 12)]
[2696, 'Cracker', (52, 10, 1), (55, 10, 9)]
[2697, 'Sender', (53, 11, 0), (54, 7, 11)]
[2698, 'Cracker', (63, 10, 2), (63, 10, 12)]
[2699, 'Sender', (56, 11, 1), (54, 10, 6)]
[2700, 'Cracker', (45, 10, 0), (41, 9, 7)]
[2701, 'Cracker', (63, 10, 0), (62, 8, 11)]
[2702, 'Sender', (53, 11, 1), (57, 8, 8)]
[2703, 'Cracker', (60, 10, 4), (60, 11, 11)]
[2704, 'Cracker', (24, 8, 0), (30, 6, 7)]
[2705, 'Cracker', (60, 10, 0), (57, 7, 11)]
[2706, 'Cracker', (27, 10, 0), (30, 7, 5)]
[2707, 'Sender', (27, 11, 2), (30, 7, 3)]
[2708, 'Sender', (45, 11, 3), (52, 7, 11)]
[2709, 'Cracker', (33, 10, 0), (32, 8, 4)]
[2710, 'Cracker', (31, 10, 0), (34, 6, 9)]
[2711, 'Sender', (44, 11, 3), (45, 9, 4)]
[2712, 'Cracker', (16, 9, 0), (17, 3, 8)]
[2713, 'Sender', (83, 11, 4), (86, 12, 11)]
[2714, 'Cracker', (49, 10, 0), (53, 6, 11)]
[2715, 'Cracker', (55, 10, 1), (55, 8, 11)]
[2716, 'Sender', (37, 11, 0), (40, 7, 6)]
[2717, 'Cracker', (25, 9, 0), (30, 5, 7)]
[2718, 'Cracker', (32, 9, 0), (40, 7, 9)]
[2719, 'Cracker', (32, 9, 0), (34, 7, 6)]
[2720, 'Cracker', (40, 9, 1), (32, 8, 5)]
[2721, 'Cracker', (50, 8, 0), (57, 6, 13)]
[2722, 'Sender', (27, 11, 1), (27, 6, 7)]
[2723, 'Cracker', (59, 10, 1), (52, 9, 11)]
[2724, 'Cracker', (37, 8, 1), (34, 4, 8)]
[2725, 'Cracker', (33, 9, 0), (34, 4, 10)]
[2726, 'Sender', (39, 11, 1), (37, 8, 8)]
[2727, 'Cracker', (37, 10, 0), (40, 6, 11)]
[2728, 'Sender', (24, 11, 3), (19, 5, 1)]
[2729, 'Sender', (69, 11, 1), (66, 7, 11)]
[2730, 'Sender', (57, 11, 1), (57, 7, 6)]
[2731, 'Sender', (50, 11, 4), (52, 9, 4)]
[2732, 'Sender', (47, 11, 0), (51, 6, 9)]
[2733, 'Sender', (93, 11, 6), (92, 14, 9)]
[2734, 'Sender', (49, 11, 2), (38, 8, 6)]
[2735, 'Cracker', (50, 10, 3), (52, 10, 8)]
[2736, 'Sender', (52, 11, 1), (50, 6, 9)]
[2737, 'Cracker', (46, 9, 0), (45, 6, 10)]
[2738, 'Cracker', (53, 10, 3), (51, 8, 13)]
[2739, 'Cracker', (53, 9, 1), (53, 9, 9)]
[2740, 'Cracker', (40, 10, 0), (44, 7, 7)]
[2741, 'Cracker', (98, 10, 3), (101, 11, 14)]
[2742, 'Sender', (55, 11, 0), (53, 7, 9)]
[2743, 'Sender', (59, 11, 2), (51, 9, 6)]
[2744, 'Cracker', (41, 10, 1), (50, 8, 11)]
[2745, 'Cracker', (29, 5, 0), (31, 2, 10)]
