# Sample Size: 10000
# Sender wins: 4966 | Cracker wins: 5034
# Sender Average | Rolls: 48.7417 | Sent Encrypted 10.1429 | Removed Token 1.2219
# Cracker Average | Rolls: 48.6816 | Get Encrypted 7.7677 | Get Cracked 8.1126
#
[Round, Winner, Sender(Rolls, SendEncr, RemoveDat), Cracker(Rolls, GetEncr, GetCrac)]
[142, 'Cracker', (46, 9, 0), (47, 6, 8)]
[143, 'Sender', (34, 11, 0), (35, 4, 7)]
[144, 'Cracker', (37, 10, 0), (36, 6, 9)]
[145, 'Sender', (75, 11, 6), (68, 12, 9)]
[146, 'Sender', (62, 11, 2), (64, 9, 7)]
[147, 'Sender', (41, 11, 0), (41, 6, 6)]
[148, 'Cracker', (42, 9, 0), (47, 8, 9)]
[149, 'Cracker', (60, 10, 2), (68, 10, 13)]
[150, 'Cracker', (42, 10, 0), (44, 8, 6)]
[151, 'Cracker', (51, 9, 0), (44, 8, 9)]
[152, 'Sender', (44, 11, 1), (46, 7, 8)]
[153, 'Sender', (80, 11, 5), (82, 13, 13)]
[154, 'Cracker', (49, 9, 0), (54, 6, 11)]
[155, 'Cracker', (30, 7, 0), (25, 4, 8)]
[156, 'Cracker', (31, 10, 0), (28, 7, 7)]
[157, 'Cracker', (54, 9, 1), (50, 7, 9)]
[158, 'Sender', (63, 11, 2), (50, 9, 10)]
[159, 'Sender', (54, 11, 2), (52, 10, 9)]
[160, 'Sender', (59, 11, 0), (58, 5, 10)]
[161, 'Sender', (51, 11, 1), (41, 7, 8)]
[162, 'Cracker', (50, 9, 1), (53, 9, 11)]
[163, 'Sender', (61, 11, 3), (65, 9, 10)]
[164, 'Sender', (27, 11, 0), (26, 3, 8)]
[165, 'Cracker', (66, 10, 3), (62, 12, 6)]
[166, 'Cracker', (50, 10, 0), (50, 6, 13)]
[167, 'Sender', (65, 11, 1), (58, 10, 8)]
[168, 'Cracker', (47, 8, 1), (38, 8, 5)]
[169, 'Sender', (56, 11, 4), (59, 9, 10)]
[170, 'Cracker', (63, 10, 2), (64, 10, 12)]
[171, 'Cracker', (69, 10, 1), (72, 9, 13)]
[172, 'Cracker', (66, 10, 0), (62, 7, 13)]
[173, 'Cracker', (51, 9, 0), (53, 6, 12)]
[174, 'Sender', (37, 11, 1), (31, 7, 6)]
[175, 'Cracker', (63, 10, 0), (52, 9, 7)]
[176, 'Sender', (51, 11, 0), (45, 8, 7)]
[177, 'Cracker', (36, 10, 0), (40, 8, 9)]
[178, 'Sender', (38, 11, 2), (44, 8, 7)]
[179, 'Sender', (27, 11, 0), (35, 4, 7)]
[180, 'Cracker', (42, 10, 0), (47, 6, 7)]
[181, 'Cracker', (57, 10, 0), (56, 7, 11)]
[182, 'Cracker', (54, 10, 0), (49, 8, 11)]
[183, 'Sender', (50, 11, 0), (44, 8, 2)]
[184, 'Cracker', (51, 10, 0), (57, 7, 10)]
[185, 'Sender', (42, 11, 0), (41, 4, 4)]
[186, 'Sender', (59, 11, 0), (63, 7, 9)]
[187, 'Cracker', (47, 10, 1), (50, 9, 10)]
[188, 'Cracker', (71, 10, 1), (70, 10, 12)]
[189, 'Cracker', (34, 10, 0), (34, 7, 8)]
[190, 'Cracker', (23, 9, 0), (24, 4, 7)]
[191, 'Sender', (53, 11, 6), (45, 10, 3)]
[192, 'Sender', (38, 11, 0), (35, 5, 5)]
[193, 'Sender', (31, 11, 1), (30, 4, 6)]
[194, 'Sender', (78, 11, 1), (74, 9, 12)]
[195, 'Cracker', (41, 10, 1), (42, 8, 4)]
[196, 'Cracker', (23, 9, 0), (23, 6, 5)]
[197, 'Sender', (68, 11, 2), (62, 10, 10)]
[198, 'Sender', (46, 11, 0), (51, 7, 7)]
[199, 'Cracker', (50, 8, 1), (45, 7, 10)]
[200, 'Sender', (79, 11, 1), (77, 9, 9)]
[201, 'Sender', (55, 11, 4), (57, 9, 13)]
[202, 'Sender', (38, 11, 0), (47, 6, 7)]
[203, 'Sender', (37, 11, 0), (34, 7, 6)]
[204, 'Sender', (47, 11, 2), (48, 8, 7)]
[205, 'Sender', (66, 11, 2), (57, 9, 5)]
[206, 'Cracker', (46, 8, 1), (54, 7, 13)]
[207, 'Cracker', (39, 6, 0), (49, 4, 9)]
[208, 'Sender', (65, 11, 3), (69, 11, 14)]
[209, 'Cracker', (39, 10, 0), (38, 9, 10)]
[210, 'Cracker', (38, 9, 0), (38, 7, 9)]
[211, 'Cracker', (57, 10, 3), (55, 11, 9)]
[212, 'Cracker', (38, 10, 0), (33, 7, 8)]
[213, 'Cracker', (51, 10, 1), (54, 6, 10)]
[214, 'Cracker', (38, 10, 0), (44, 7, 7)]
[215, 'Cracker', (102, 10, 4), (107, 12, 13)]
[216, 'Sender', (28, 11, 0), (32, 6, 5)]
[217, 'Sender', (28, 11, 0), (28, 6, 7)]
[218, 'Sender', (59, 11, 3), (55, 8, 9)]
[219, 'Cracker', (36, 10, 0), (41, 7, 8)]
[220, 'Cracker', (53, 10, 0), (53, 8, 11)]
[221, 'Sender', (57, 11, 0), (51, 6, 11)]
[222, 'Cracker', (42, 9, 0), (35, 5, 8)]
[223, 'Cracker', (40, 10, 0), (37, 8, 7)]
[224, 'Cracker', (44, 10, 1), (48, 8, 7)]
[225, 'Cracker', (27, 9, 0), (28, 6, 5)]
[226, 'Cracker', (35, 9, 0), (37, 4, 7)]
[227, 'Cracker', (28, 9, 0), (33, 7, 7)]
[228, 'Sender', (40, 11, 1), (35, 7, 3)]
[229, 'Cracker', (78, 10, 3), (76, 12, 12)]
[230, 'Sender', (40, 11, 5), (38, 8, 4)]
[231, 'Sender', (66, 11, 1), (65, 7, 10)]
[232, 'Sender', (49, 11, 0), (45, 6, 6)]
[233, 'Cracker', (51, 10, 1), (50, 7, 13)]
[234, 'Cracker', (59, 9, 2), (53, 10, 7)]
[235, 'Sender', (47, 11, 1), (40, 8, 3)]
[236, 'Cracker', (50, 10, 0), (54, 8, 9)]
[237, 'Sender', (65, 11, 2), (62, 9, 12)]
[238, 'Sender', (47, 11, 1), (40, 5, 9)]
[239, 'Sender', (52, 11, 1), (55, 8, 12)]
[240, 'Cracker', (43, 8, 2), (48, 10, 11)]
[241, 'Sender', (54, 11, 0), (45, 7, 8)]
[242, 'Sender', (32, 11, 0), (24, 4, 5)]
[243, 'Cracker', (58, 9, 0), (62, 6, 13)]
[244, 'Cracker', (43, 9, 0), (43, 8, 8)]
[245, 'Sender', (71, 11, 5), (61, 9, 7)]
[246, 'Cracker', (66, 10, 0), (71, 9, 11)]
[247, 'Cracker', (63, 10, 1), (69, 7, 11)]
[248, 'Cracker', (69, 10, 1), (71, 8, 10)]
[249, 'Sender', (87, 11, 4), (86, 13, 11)]
[250, 'Cracker', (38, 10, 0), (33, 7, 7)]
[251, 'Sender', (81, 11, 5), (81, 12, 6)]
[252, 'Cracker', (107, 9, 1), (89, 10, 13)]
[253, 'Cracker', (101, 10, 6), (105, 14, 15)]
[254, 'Cracker', (42, 10, 0), (41, 8, 8)]
[255, 'Sender', (36, 11, 0), (30, 5, 6)]
[256, 'Sender', (40, 11, 1), (35, 7, 4)]
[257, 'Sender', (24, 11, 1), (20, 6, 1)]
[258, 'Sender', (45, 11, 1), (39, 8, 6)]
[259, 'Sender', (130, 11, 23), (140, 27, 10)]
[260, 'Sender', (74, 11, 6), (76, 13, 5)]
[261, 'Cracker', (49, 9, 0), (47, 8, 7)]
[262, 'Cracker', (36, 10, 0), (39, 7, 10)]
